0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:40 -0600] "GET /web/resource/img/calender.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:53 -0600] "GET /web/curvas/1?_=1478739279973 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:53 -0600] "GET /web/curvas/1?_=1478739279972 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:54 -0600] "GET /web/nodos/ByCriteria;id_proveedor=1;col=Cetesi;?_=1478739279974 HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:57 -0600] "POST /web/graficas/ HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/ HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:55:50 -0600] "GET /web/resource/img/calender.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:56:02 -0600] "GET /web/curvas/1?_=1478739350402 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:56:02 -0600] "GET /web/curvas/1?_=1478739350401 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:56:03 -0600] "GET /web/nodos/ByCriteria;id_proveedor=1;col=Cetesi;?_=1478739350403 HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:56:12 -0600] "POST /web/graficas/ HTTP/1.1" 200 919
